"","kills","deaths","assists","killingSprees","largestKillingSpree","largestMultiKill","doubleKills","tripleKills","quadraKills","pentaKills","totalDamageDealt","totalDamageDealtToChampions","magicDamageDealt","physicalDamageDealt","trueDamageDealt","damageDealtToObjectives","damageDealtToTurrets","damageSelfMitigated","totalDamageTaken","goldEarned","goldSpent","totalMinionsKilled","neutralMinionsKilled","lane","teamPosition","timePlayed","visionScore","wardsPlaced","wardsKilled","longestTimeSpentLiving","totalHeal","totalHealsOnTeammates","totalDamageShieldedOnTeammates","timeCCingOthers","firstBloodKill","firstBloodAssist","firstTowerKill","firstTowerAssist","killParticipation","takedowns"
"1",7,7,4,2,3,2,1,0,0,0,105183,20944,92071,12144,967,4403,1676,11001,21058,10549,10175,172,0,"MIDDLE","MIDDLE",1672,19,9,2,532,1595,0,998,23,FALSE,FALSE,FALSE,FALSE,NA,NA
"2",8,0,5,1,8,2,1,0,0,0,142701,18492,5562,135871,1266,16389,8293,5298,7393,12285,11125,212,4,"TOP","BOTTOM",1407,8,5,1,0,3022,0,0,27,FALSE,FALSE,FALSE,FALSE,NA,NA
"3",7,7,6,2,3,2,1,0,0,0,66102,19008,61520,4582,0,774,0,18979,31637,9576,8875,133,4,"JUNGLE","MIDDLE",1422,12,4,2,478,7897,0,0,20,FALSE,TRUE,FALSE,FALSE,NA,NA
"4",3,7,3,1,2,1,0,0,0,0,209467,15051,16852,107082,85533,9388,2832,31183,31462,10350,9908,38,148,"JUNGLE","JUNGLE",1620,23,3,5,385,9095,0,0,17,FALSE,FALSE,TRUE,FALSE,NA,NA
"5",14,3,11,3,7,3,1,1,0,0,358938,36680,14666,261367,82903,86445,7639,42472,57012,17315,15650,38,189,"JUNGLE","JUNGLE",2109,31,13,4,482,40229,0,0,35,FALSE,TRUE,FALSE,FALSE,NA,NA
"6",0,3,0,0,0,0,0,0,0,0,48186,7005,7263,37028,3895,21,21,6548,8361,4171,3450,102,0,"NONE","TOP",927,5,3,0,599,481,0,0,9,FALSE,FALSE,FALSE,FALSE,NA,NA
"7",12,6,8,5,3,2,1,0,0,0,129804,20021,3248,123653,2902,11338,3754,6665,15742,13260,11625,189,6,"BOTTOM","BOTTOM",1543,24,10,1,421,3886,660,0,12,FALSE,TRUE,FALSE,FALSE,NA,NA
"8",4,9,21,1,2,1,0,0,0,0,19051,10650,10520,5587,2943,2086,605,31370,27741,9614,8625,20,0,"BOTTOM","UTILITY",1897,112,57,5,469,6863,2668,5169,37,TRUE,FALSE,FALSE,FALSE,NA,NA
"9",5,10,11,1,2,1,0,0,0,0,264454,36429,236304,13945,14203,7612,636,15261,30909,18995,17825,291,22,"MIDDLE","MIDDLE",2768,49,22,2,573,2002,703,0,43,TRUE,FALSE,FALSE,FALSE,NA,NA
"10",27,9,14,7,6,4,5,2,2,0,97049,45919,1645,94673,730,1228,1228,15448,22003,15345,14500,78,0,"NONE","",1056,0,0,0,235,3492,0,0,52,FALSE,FALSE,FALSE,FALSE,NA,NA
"11",8,3,6,3,3,1,0,0,0,0,203842,26860,185692,13163,4986,18942,10195,13308,15767,15886,15450,248,1,"MIDDLE","MIDDLE",2129,25,15,4,478,1740,0,0,33,FALSE,FALSE,FALSE,FALSE,NA,NA
"12",17,13,28,3,4,3,2,1,0,0,91872,46161,491,89265,2115,1077,1077,67888,45523,16070,14750,53,0,"MIDDLE","",1428,0,0,0,161,13613,0,0,16,FALSE,TRUE,FALSE,FALSE,NA,NA
"13",5,3,3,2,3,1,0,0,0,0,64818,9952,54162,9824,831,3312,2227,4155,9196,7502,7150,121,1,"NONE","MIDDLE",1101,7,2,1,404,378,0,0,8,FALSE,FALSE,FALSE,TRUE,NA,NA
"14",7,12,9,2,2,2,2,0,0,0,215738,21257,1233,152356,62147,18307,0,21679,39986,11768,11600,17,144,"JUNGLE","JUNGLE",1896,22,5,2,232,15332,0,0,15,FALSE,TRUE,FALSE,FALSE,NA,NA
"15",11,10,4,3,3,2,2,0,0,0,106902,21652,1554,104590,757,2218,2218,9688,19111,11005,10500,162,0,"BOTTOM","BOTTOM",1429,10,7,2,312,2279,0,0,26,TRUE,FALSE,FALSE,FALSE,NA,NA
"16",8,2,6,2,5,1,0,0,0,0,296896,18948,2608,234921,59366,24743,6150,22605,32348,12951,10325,22,201,"JUNGLE","JUNGLE",1600,44,14,3,1226,19123,0,0,7,FALSE,FALSE,FALSE,FALSE,NA,NA
"17",1,3,21,0,0,1,0,0,0,0,14180,5206,7679,4619,1881,1049,643,7751,13741,8291,6975,28,0,"MIDDLE","UTILITY",1776,92,33,12,981,6385,5154,1261,32,FALSE,FALSE,FALSE,FALSE,NA,NA
"18",5,14,21,0,0,1,0,0,0,0,62689,25438,9072,53162,455,0,0,27398,26329,10393,10100,54,0,"NONE","",959,0,0,0,74,3481,0,0,29,FALSE,FALSE,FALSE,FALSE,NA,NA
"19",4,2,7,1,2,1,0,0,0,0,72443,13290,4285,67143,1014,4921,4921,4917,9437,8859,8283,139,0,"BOTTOM","BOTTOM",1218,8,3,4,653,2263,0,0,2,FALSE,FALSE,FALSE,TRUE,NA,NA
"20",0,7,6,0,0,0,0,0,0,0,125514,22378,108490,12421,4603,891,563,12982,29482,8597,7650,168,0,"MIDDLE","MIDDLE",1797,18,7,2,629,4516,0,0,11,FALSE,FALSE,FALSE,FALSE,NA,NA
"21",5,6,7,1,2,1,0,0,0,0,145306,28359,20289,123769,1248,21269,11155,18807,26316,11721,9650,190,0,"JUNGLE","TOP",1493,12,8,0,301,12101,0,0,9,FALSE,FALSE,TRUE,FALSE,NA,NA
"22",6,10,19,1,4,3,1,1,0,0,66531,40406,62338,4192,0,0,0,21867,45846,12471,11400,35,0,"TOP","",1228,0,0,0,214,26397,0,0,7,FALSE,FALSE,FALSE,FALSE,NA,NA
"23",5,8,7,1,3,1,0,0,0,0,209259,25945,150354,14463,44440,2417,0,19517,31379,10357,9225,19,152,"JUNGLE","JUNGLE",1556,17,8,2,353,14260,0,1355,53,FALSE,TRUE,FALSE,FALSE,NA,NA
"24",22,9,18,5,5,3,3,1,0,0,88668,41682,10206,75127,3334,1663,1663,32518,32147,15245,12425,60,0,"NONE","",1088,0,0,0,133,9771,0,0,13,TRUE,FALSE,FALSE,FALSE,NA,NA
"25",3,3,0,1,2,1,0,0,0,0,54327,8702,0,52809,1518,3426,1331,8896,8967,5850,5650,112,2,"NONE","TOP",969,9,5,0,476,804,0,0,13,TRUE,FALSE,FALSE,FALSE,NA,NA
"26",6,6,11,2,3,1,0,0,0,0,94535,17351,15347,72311,6876,9289,2976,7421,17319,9187,8250,140,0,"BOTTOM","BOTTOM",1453,19,6,3,554,1864,0,0,43,FALSE,FALSE,FALSE,FALSE,NA,NA
"27",3,3,16,1,2,1,0,0,0,0,29284,10563,21639,4767,2877,3150,1691,5404,14155,8609,7575,33,0,"BOTTOM","UTILITY",1536,57,26,6,583,6021,3228,721,31,FALSE,TRUE,FALSE,FALSE,NA,NA
"28",10,9,7,3,3,2,2,0,0,0,212464,30698,179804,24757,7902,12725,6843,18780,35501,15813,15050,242,0,"TOP","TOP",2303,16,10,1,615,3814,0,0,28,FALSE,FALSE,FALSE,FALSE,NA,NA
"29",11,2,2,2,8,2,3,0,0,0,72503,14756,64473,6059,1970,3646,3646,4794,10400,9194,8925,128,0,"NONE","MIDDLE",913,12,2,2,558,948,0,0,0,FALSE,FALSE,TRUE,FALSE,NA,NA
"30",1,4,0,0,0,1,0,0,0,0,50183,4877,6569,43612,2,0,0,10204,10237,5030,3950,120,0,"NONE","MIDDLE",976,12,5,3,510,250,60,0,11,FALSE,FALSE,FALSE,FALSE,NA,NA
"31",1,1,5,0,0,1,0,0,0,0,46627,6378,40310,5695,621,515,515,2128,5888,6050,4525,121,2,"NONE","MIDDLE",913,10,6,3,232,492,0,0,10,FALSE,FALSE,FALSE,FALSE,NA,NA
